epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.85152,0.97397,3.63933,1.06457,0.01285,0.44444,0.08009,0.06514,0.85632,3.73321,1.06868,0.09307,7e-05,7e-05
2,13.1734,0.95944,3.08933,1.06361,0.00142,0.5,0.23451,0.17495,0.91737,3.54832,1.0198,0.0851497,0.000149703,0.000149703
3,19.728,1.00242,2.80737,1.07983,0.04306,0.66667,0.23765,0.1732,0.90548,3.43664,1.00667,0.0772291,0.000229089,0.000229089
4,26.1931,0.94976,2.63834,1.05185,0.08526,0.83333,0.35482,0.2791,0.84052,3.41915,0.99698,0.0693082,0.000308159,0.000308159
5,32.3708,0.76155,2.38269,0.97655,0.06187,0.88889,0.3837,0.29113,0.91497,3.25753,0.98913,0.0613869,0.000386911,0.000386911
6,38.5478,0.85894,2.31402,1.02878,0.04327,0.94444,0.34188,0.24982,1.06928,3.22564,1.03768,0.0534653,0.000465347,0.000465347
7,44.7367,0.92291,2.27028,1.01176,0.04272,1,0.29692,0.20329,1.24878,3.28631,1.0759,0.0455435,0.000543466,0.000543466
8,50.8941,0.91413,2.14592,1.04101,0.91421,0.16667,0.36139,0.27398,1.05419,3.11201,1.03438,0.0376213,0.000621268,0.000621268
9,56.8556,0.98444,2.10011,1.11867,0.49363,0.27778,0.44295,0.35366,1.11926,2.57102,1.06214,0.0296988,0.000698754,0.000698754
10,62.7299,0.88211,2.07777,1.05549,0.27537,0.48626,0.47586,0.37486,1.12047,2.35483,1.0825,0.0217759,0.000775922,0.000775922
11,68.7082,0.90789,2.10068,1.04396,0.30871,0.49334,0.50666,0.39254,1.05695,2.21537,1.06479,0.0138528,0.000852774,0.000852774
12,74.4457,0.90042,2.05872,1.05424,0.78256,0.46955,0.54788,0.42105,0.97667,2.10078,1.0284,0.00592931,0.000929309,0.000929309
13,80.3183,0.92968,2.00077,1.06989,0.3362,0.71526,0.51631,0.41985,0.91589,2.00476,1.02132,0.00097624,0.00097624,0.00097624
14,86.0399,0.84241,1.93816,1.06825,0.27153,0.70773,0.51094,0.398,0.83042,1.85601,0.97378,0.00097426,0.00097426,0.00097426
15,91.823,0.80827,1.95502,0.98958,0.25415,0.55556,0.46656,0.38543,0.85225,1.88013,0.9925,0.00097228,0.00097228,0.00097228
16,97.5604,0.87572,2.01517,1.08654,0.39251,0.55556,0.50495,0.41482,0.77725,1.90366,0.96845,0.0009703,0.0009703,0.0009703
17,103.416,0.78538,1.81841,0.99572,0.51161,0.52287,0.6051,0.5183,0.74265,1.8687,0.97323,0.00096832,0.00096832,0.00096832
18,109.11,0.79542,1.87372,0.99951,0.42658,0.62282,0.60694,0.5105,0.76833,1.82715,0.99432,0.00096634,0.00096634,0.00096634
19,114.78,0.823,1.81879,1.00371,0.37014,0.64138,0.58374,0.47668,0.81561,1.76997,1.00368,0.00096436,0.00096436,0.00096436
20,120.45,0.86827,1.81766,1.08381,0.53243,0.62844,0.56364,0.45125,0.84897,1.72877,0.9774,0.00096238,0.00096238,0.00096238
21,126.214,0.83219,1.69894,1.02822,0.3378,0.57392,0.61488,0.50282,0.83586,1.79114,0.96413,0.0009604,0.0009604,0.0009604
22,131.933,0.79442,1.79589,1.00306,0.43362,0.59744,0.63011,0.53861,0.76614,1.84515,0.94848,0.00095842,0.00095842,0.00095842
23,137.565,0.76754,1.69973,1.0041,0.38611,0.61886,0.6032,0.52109,0.7623,1.88246,0.97361,0.00095644,0.00095644,0.00095644
24,143.289,0.75291,1.71429,1.01555,0.5334,0.70759,0.64228,0.55272,0.75341,1.80786,0.96866,0.00095446,0.00095446,0.00095446
25,148.957,0.75091,1.62842,0.9745,0.64219,0.83027,0.77184,0.66635,0.75101,1.72393,0.96647,0.00095248,0.00095248,0.00095248
26,154.499,0.80503,1.74882,1.03303,0.63753,0.67345,0.7094,0.62008,0.76196,1.66448,0.97821,0.0009505,0.0009505,0.0009505
27,160.131,0.74277,1.61197,0.99848,0.46431,0.66409,0.67101,0.58287,0.79947,1.64646,1.00482,0.00094852,0.00094852,0.00094852
28,165.654,0.68089,1.43351,0.97123,0.45407,0.60279,0.62506,0.53686,0.82411,1.7457,1.04323,0.00094654,0.00094654,0.00094654
29,171.145,0.72132,1.47088,1.02816,0.46894,0.65735,0.62873,0.53712,0.84533,1.7966,1.07669,0.00094456,0.00094456,0.00094456
30,176.646,0.68631,1.45665,0.9557,0.58625,0.66667,0.68317,0.57882,0.83521,1.67167,1.05734,0.00094258,0.00094258,0.00094258
31,182.069,0.6652,1.47411,0.96642,0.66108,0.66667,0.66577,0.55672,0.86286,1.59435,1.04728,0.0009406,0.0009406,0.0009406
32,187.515,0.75717,1.43369,1.02862,0.54191,0.61111,0.65833,0.5584,0.90289,1.68208,1.07754,0.00093862,0.00093862,0.00093862
33,192.996,0.68136,1.33567,0.96473,0.51388,0.69106,0.72348,0.60376,0.89017,1.59637,1.06553,0.00093664,0.00093664,0.00093664
34,198.438,0.68127,1.31345,0.94246,0.45727,0.64146,0.68394,0.56313,0.89993,1.52282,1.05457,0.00093466,0.00093466,0.00093466
35,204.081,0.76951,1.36882,1.05343,0.47075,0.79355,0.67498,0.5587,0.82911,1.43902,1.0267,0.00093268,0.00093268,0.00093268
